File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24.70s (116.86%)
Showing nodes accounting for -1.74s, 7.04% of 24.70s total
Dropped 9 nodes (cum <= 0.12s)
      flat  flat%   sum%        cum   cum%
    -0.01s  0.04%  7.37%     -0.01s  0.04%  runtime.(*limiterEvent).stop
     0.01s  0.04%  7.33%      0.34s  1.38%  runtime.(*mcache).nextFree
     0.01s  0.04%  7.29%      0.01s  0.04%  runtime.(*mcache).releaseAll
    -0.01s  0.04%  7.33%     -0.01s  0.04%  runtime.(*mcentral).uncacheSpan
     0.01s  0.04%  7.29%      0.13s  0.53%  runtime.(*mheap).alloc.func1
    -0.01s  0.04%  7.33%     -0.11s  0.45%  runtime.(*mheap).nextSpanForSweep
     0.01s  0.04%  7.29%      0.01s  0.04%  runtime.(*moduledata).textAddr
     0.01s  0.04%  7.25%     -0.03s  0.12%  runtime.(*mspan).nextFreeIndex
     0.01s  0.04%  7.21%     -0.16s  0.65%  runtime.(*mspan).typePointersOfUnchecked
     0.01s  0.04%  7.17%      0.01s  0.04%  runtime.(*pageAlloc).find
     0.01s  0.04%  7.13%      0.01s  0.04%  runtime.(*pallocBits).summarize
     0.01s  0.04%  7.09%      0.01s  0.04%  runtime.(*scavengeIndex).alloc
    -0.01s  0.04%  7.13%     -0.04s  0.16%  runtime.SetFinalizer
    -0.01s  0.04%  7.17%     -0.04s  0.16%  runtime.addfinalizer
    -0.01s  0.04%  7.21%     -0.01s  0.04%  runtime.casgstatus
     0.01s  0.04%  7.17%      0.01s  0.04%  runtime.checkdead
    -0.01s  0.04%  7.21%     -0.06s  0.24%  runtime.convT
     0.01s  0.04%  7.17%      0.01s  0.04%  runtime.convT64
    -0.01s  0.04%  7.21%     -0.01s  0.04%  runtime.duffcopy
    -0.01s  0.04%  7.25%     -0.03s  0.12%  runtime.execute
     0.01s  0.04%  7.21%     -0.07s  0.28%  runtime.findRunnable
    -0.01s  0.04%  7.25%     -0.01s  0.04%  runtime.findnull
     0.01s  0.04%  7.21%      0.04s  0.16%  runtime.funcNamePiecesForPrint
    -0.01s  0.04%  7.25%     -0.02s 0.081%  runtime.gcTrigger.test
    -0.01s  0.04%  7.29%     -0.01s  0.04%  runtime.gcWriteBarrier2
     0.01s  0.04%  7.25%      0.01s  0.04%  runtime.getempty
    -0.01s  0.04%  7.29%     -0.03s  0.12%  runtime.makeslice
    -0.01s  0.04%  7.33%     -0.01s  0.04%  runtime.mapaccess2_fast64
     0.01s  0.04%  7.29%     -0.05s   0.2%  runtime.mapaccess2_faststr
     0.01s  0.04%  7.25%     -0.02s 0.081%  runtime.markrootSpans
     0.01s  0.04%  7.21%      0.01s  0.04%  runtime.memhash64
    -0.01s  0.04%  7.25%     -0.01s  0.04%  runtime.memmove
     0.01s  0.04%  7.21%      0.22s  0.89%  runtime.newarray
     0.01s  0.04%  7.17%      0.01s  0.04%  runtime.procyield
    -0.01s  0.04%  7.21%      0.01s  0.04%  runtime.rawstringtmp
     0.01s  0.04%  7.17%      0.01s  0.04%  runtime.runqputbatch
     0.01s  0.04%  7.13%      0.01s  0.04%  runtime.scanblock
     0.01s  0.04%  7.09%     -0.09s  0.36%  runtime.schedule
     0.01s  0.04%  7.04%     -0.01s  0.04%  runtime.setVMAName
     0.01s  0.04%  7.00%      0.01s  0.04%  runtime.spanOfHeap
     0.01s  0.04%  6.96%      0.01s  0.04%  runtime.step
    -0.01s  0.04%  7.00%     -0.01s  0.04%  runtime.strhash
     0.01s  0.04%  6.96%      0.01s  0.04%  runtime.trygetfull
     0.01s  0.04%  6.92%      0.01s  0.04%  runtime.typePointers.next
    -0.01s  0.04%  6.96%     -0.01s  0.04%  runtime.unlock2
    -0.01s  0.04%  7.00%     -0.02s 0.081%  runtime.wbMove
    -0.01s  0.04%  7.04%     -0.01s  0.04%  sync.(*RWMutex).Unlock
     0.01s  0.04%  7.00%      0.02s 0.081%  sync/atomic.StorePointer
    -0.01s  0.04%  7.04%     -0.10s   0.4%  testing.(*common).Helper
         0     0%  7.04%      0.30s  1.21%  github.com/dop251/goja.(*Runtime).Set
         0     0%  7.04%      0.28s  1.13%  github.com/dop251/goja.(*Runtime).Set.func1
         0     0%  7.04%      0.17s  0.69%  github.com/dop251/goja.(*Runtime).ToValue
         0     0%  7.04%     -0.01s  0.04%  github.com/dop251/goja.(*Runtime).getFunctionPrototype
         0     0%  7.04%      0.04s  0.16%  github.com/dop251/goja.AssertFunction
         0     0%  7.04%      0.49s  1.98%  github.com/dop251/goja.AssertFunction.func1
         0     0%  7.04%     -0.08s  0.32%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func11
         0     0%  7.04%      0.07s  0.28%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func7
         0     0%  7.04%      0.51s  2.06%  github.com/dop251/goja_nodejs/require.(*RequireModule).Require
         0     0%  7.04%      0.14s  0.57%  github.com/dop251/goja_nodejs/require.(*RequireModule).createModuleObject.(*Object).Set.func1
         0     0%  7.04%      0.51s  2.06%  github.com/dop251/goja_nodejs/require.(*RequireModule).require
         0     0%  7.04%      0.02s 0.081%  github.com/dop251/goja_nodejs/require.isFileOrDirectoryPath
         0     0%  7.04%      0.01s  0.04%  github.com/dop251/goja_nodejs/util.Require
         0     0%  7.04%      0.04s  0.16%  github.com/dop251/goja_nodejs/util.Require.(*Object).Set.func1
         0     0%  7.04%     -0.54s  2.19%  github.com/go-go-golems/go-go-goja/engine.NewFactory
         0     0%  7.04%      0.02s 0.081%  github.com/go-go-golems/go-go-goja/engine.configureRuntimeCallLog
         0     0%  7.04%      8.18s 33.12%  github.com/go-go-golems/go-go-goja/perf/goja_test.BenchmarkRuntimeSpawn.func3
         0     0%  7.04%      0.06s  0.24%  github.com/go-go-golems/go-go-goja/pkg/calllog.setRuntimeLoggerBinding
         0     0%  7.04%      0.01s  0.04%  internal/chacha8rand.(*State).Refill
         0     0%  7.04%      0.22s  0.89%  internal/runtime/maps.newarray
         0     0%  7.04%      0.01s  0.04%  internal/runtime/syscall.EpollWait
         0     0%  7.04%      0.07s  0.28%  runtime.(*Func).Name
         0     0%  7.04%      0.01s  0.04%  runtime.(*gcWork).balance
         0     0%  7.04%      0.01s  0.04%  runtime.(*mcache).prepareForSweep
         0     0%  7.04%      0.35s  1.42%  runtime.(*mcentral).grow
         0     0%  7.04%      0.13s  0.53%  runtime.(*mheap).alloc
         0     0%  7.04%     -0.01s  0.04%  runtime.(*mheap).grow
         0     0%  7.04%      0.02s 0.081%  runtime.(*mheap).initSpan
         0     0%  7.04%      0.22s  0.89%  runtime.(*mspan).initHeapBits
         0     0%  7.04%      0.03s  0.12%  runtime.(*pageAlloc).allocToCache
         0     0%  7.04%      0.01s  0.04%  runtime.(*pageAlloc).update
         0     0%  7.04%     -0.03s  0.12%  runtime.(*spanSet).push
         0     0%  7.04%     -0.01s  0.04%  runtime.(*unwinder).initAt
         0     0%  7.04%     -0.03s  0.12%  runtime.(*unwinder).next
         0     0%  7.04%      0.01s  0.04%  runtime.(*unwinder).resolveInternal
         0     0%  7.04%     -0.01s  0.04%  runtime.(*unwinder).symPC
         0     0%  7.04%      0.01s  0.04%  runtime.FuncForPC
         0     0%  7.04%     -0.08s  0.32%  runtime.GC
         0     0%  7.04%     -0.04s  0.16%  runtime.SetFinalizer.func2
         0     0%  7.04%      0.01s  0.04%  runtime._System
         0     0%  7.04%      0.01s  0.04%  runtime.atomicwb
         0     0%  7.04%     -0.07s  0.28%  runtime.bgsweep
         0     0%  7.04%     -0.05s   0.2%  runtime.callers
         0     0%  7.04%     -0.05s   0.2%  runtime.callers.func1
         0     0%  7.04%      0.02s 0.081%  runtime.concatstring2
         0     0%  7.04%      0.03s  0.12%  runtime.concatstring3
         0     0%  7.04%      0.01s  0.04%  runtime.forEachPInternal
         0     0%  7.04%     -0.05s   0.2%  runtime.futexsleep
         0     0%  7.04%     -0.02s 0.081%  runtime.futexwakeup
         0     0%  7.04%     -0.01s  0.04%  runtime.gcAssistAlloc.func2
         0     0%  7.04%     -0.01s  0.04%  runtime.gcAssistAlloc1
         0     0%  7.04%     -1.49s  6.03%  runtime.gcBgMarkWorker
         0     0%  7.04%     -1.49s  6.03%  runtime.gcBgMarkWorker.func2
         0     0%  7.04%     -0.01s  0.04%  runtime.gcDrainN
         0     0%  7.04%      0.01s  0.04%  runtime.gcMarkDone
         0     0%  7.04%      0.01s  0.04%  runtime.gcMarkTermination
         0     0%  7.04%      0.01s  0.04%  runtime.gcMarkTermination.forEachP.func6
         0     0%  7.04%      0.01s  0.04%  runtime.gcMarkTermination.func4
         0     0%  7.04%     -0.09s  0.36%  runtime.gosched_m
         0     0%  7.04%      0.01s  0.04%  runtime.handoff
         0     0%  7.04%      0.02s 0.081%  runtime.lock2
         0     0%  7.04%      0.03s  0.12%  runtime.mProf_Malloc
         0     0%  7.04%      0.01s  0.04%  runtime.mProf_Malloc.func1
         0     0%  7.04%     -0.03s  0.12%  runtime.markroot
         0     0%  7.04%     -0.01s  0.04%  runtime.markroot.func1
         0     0%  7.04%     -0.10s   0.4%  runtime.mcall
         0     0%  7.04%     -0.01s  0.04%  runtime.morestack
         0     0%  7.04%      0.01s  0.04%  runtime.mput
