File: goja.test
Build ID: d78a0faa7df9923b954d3f38003009d269644754
Type: cpu
Time: 2026-02-18 15:07:49 EST
Duration: 21.14s, Total samples = 24700ms (116.86%)
Showing nodes accounting for 0, 6.5e-07% of 24700ms total
      flat  flat%   sum%        cum   cum%
    5.11ms 0.021% 0.097%   -23.43ms 0.095%  runtime.(*spanSet).push
   -4.89ms  0.02%  0.12%    -4.89ms  0.02%  runtime.memmove
    2.19ms 0.0089%  0.11%     2.19ms 0.0089%  runtime._ExternalCode
    2.19ms 0.0089% 0.099%    -0.51ms 0.0021%  github.com/dop251/goja.(*Runtime).getFunctionPrototype
    2.19ms 0.0089%  0.09%   893.58ms  3.62%  github.com/dop251/goja.AssertFunction.func1
    2.19ms 0.0089% 0.082%     2.19ms 0.0089%  runtime.(*mspan).init
    2.19ms 0.0089% 0.073%     2.19ms 0.0089%  runtime.(*sweepLocker).tryAcquire
    2.19ms 0.0089% 0.064%    24.38ms 0.099%  runtime.lock2
    1.46ms 0.0059% 0.058%   370.50ms  1.50%  github.com/dop251/goja.(*Runtime).Set.func1
    1.46ms 0.0059% 0.052%     1.46ms 0.0059%  github.com/dop251/goja.(*templatedObject).materialiseProto
    1.46ms 0.0059% 0.046%   909.20ms  3.68%  github.com/dop251/goja_nodejs/require.(*RequireModule).require
    1.46ms 0.0059%  0.04%    83.14ms  0.34%  runtime.(*Func).Name
    1.46ms 0.0059% 0.034%     6.57ms 0.027%  runtime.deductAssistCredit
   -1.03ms 0.0042% 0.038%   550.68ms  2.23%  runtime.mallocgc
    0.73ms 0.003% 0.035%   365.59ms  1.48%  github.com/dop251/goja.(*Runtime).ToValue
    0.73ms 0.003% 0.033%   908.47ms  3.68%  github.com/dop251/goja_nodejs/require.(*RequireModule).Require
    0.73ms 0.003%  0.03%   168.46ms  0.68%  github.com/dop251/goja_nodejs/require.(*RequireModule).createModuleObject.(*Object).Set.func1
    0.73ms 0.003% 0.027%   284.95ms  1.15%  internal/runtime/maps.newarray
    0.73ms 0.003% 0.024%     4.38ms 0.018%  internal/runtime/maps.rand
    0.73ms 0.003% 0.021%     0.73ms 0.003%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Swap.deferwrap1
    0.73ms 0.003% 0.018%    25.11ms   0.1%  runtime.(*mheap).initSpan
    0.73ms 0.003% 0.015%     0.73ms 0.003%  runtime.(*mspan).ensureSwept
    0.73ms 0.003% 0.012%    11.46ms 0.046%  runtime.(*unwinder).resolveInternal
    0.73ms 0.003% 0.0089%    33.65ms  0.14%  runtime.concatstring3
    0.73ms 0.003% 0.0059%     0.73ms 0.003%  runtime.globrunqgetbatch
    0.73ms 0.003% 0.003%  -332.60ms  1.35%  runtime.systemstack
    0.73ms 0.003% 6.5e-07%   -31.97ms  0.13%  runtime.tracebackPCs
         0     0% 6.5e-07%   394.87ms  1.60%  github.com/dop251/goja.(*Runtime).Set
         0     0% 6.5e-07%    45.84ms  0.19%  github.com/dop251/goja.AssertFunction
         0     0% 6.5e-07%   -35.48ms  0.14%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func11
         0     0% 6.5e-07%   109.41ms  0.44%  github.com/dop251/goja_nodejs/console.Require.Require.requireWithPrinter.func1.(*Object).Set.func7
         0     0% 6.5e-07%    21.46ms 0.087%  github.com/dop251/goja_nodejs/require.isFileOrDirectoryPath
         0     0% 6.5e-07%    50.14ms   0.2%  github.com/dop251/goja_nodejs/util.Require
         0     0% 6.5e-07%    78.68ms  0.32%  github.com/dop251/goja_nodejs/util.Require.(*Object).Set.func1
         0     0% 6.5e-07%     -540ms  2.19%  github.com/go-go-golems/go-go-goja/engine.NewFactory
         0     0% 6.5e-07%    53.57ms  0.22%  github.com/go-go-golems/go-go-goja/engine.configureRuntimeCallLog
         0     0% 6.5e-07%  8776.98ms 35.53%  github.com/go-go-golems/go-go-goja/perf/goja_test.BenchmarkRuntimeSpawn.func3
         0     0% 6.5e-07%    88.46ms  0.36%  github.com/go-go-golems/go-go-goja/pkg/calllog.setRuntimeLoggerBinding
         0     0% 6.5e-07%    12.19ms 0.049%  internal/chacha8rand.(*State).Refill
         0     0% 6.5e-07%    10.73ms 0.043%  internal/runtime/syscall.EpollWait
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.(*fixalloc).alloc
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.(*gcWork).balance
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.(*gcWork).putObj
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.(*mcache).prepareForSweep
         0     0% 6.5e-07%   420.06ms  1.70%  runtime.(*mcentral).grow
         0     0% 6.5e-07%   145.33ms  0.59%  runtime.(*mheap).alloc
         0     0% 6.5e-07%     0.73ms 0.003%  runtime.(*mheap).allocMSpanLocked
         0     0% 6.5e-07%      -10ms  0.04%  runtime.(*mheap).grow
         0     0% 6.5e-07%   274.74ms  1.11%  runtime.(*mspan).initHeapBits
         0     0% 6.5e-07%    32.92ms  0.13%  runtime.(*pageAlloc).allocToCache
         0     0% 6.5e-07%    10.73ms 0.043%  runtime.(*pageAlloc).update
         0     0% 6.5e-07%    -9.27ms 0.038%  runtime.(*unwinder).initAt
         0     0% 6.5e-07%   -28.54ms  0.12%  runtime.(*unwinder).next
